isbn,title,author,pub,category,average_rating
0571216420,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,Faber &amp; Faber,unknown,4.0
0312303467,Bet Me,Jennifer Crusie,St. Martin's Press,['Fiction'],5.0
014023313X,The Stone Diaries,Carol Shields,Penguin Books,['Fiction'],3.6
0425141233,Winter Prey,John Sandford,Berkley Publishing Group,unknown,4.0
0525947914,Just One Look,Harlan Coben,Dutton Books,['Fiction'],5.0
0345452593,Therapy,Jonathan Kellerman,Ballantine Books,['Fiction'],4.0
076791404X,She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN,Broadway,['Biography & Autobiography'],4.0
0440225442,One False Move (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,Dell,unknown,4.0
0380709562,"Ramona Quimby, Age 8 (Avon Camelot Books (Paperback))",Beverly Cleary,HarperTrophy,['Juvenile Fiction'],5.0
006001203X,Dr. Atkins' New Diet Revolution,Robert C. Atkins,Avon Books,['Health & Fitness'],4.5
0375713344,Geek Love,Katherine Dunn,Vintage Books USA,unknown,5.0
0140293450,About a Boy,Nick Hornby,Penguin Books Ltd,['Fiction'],5.0
037540256X,A Patchwork Planet,Anne Tyler,Random House Inc,['Fiction'],4.0
0440207622,Daddy,DANIELLE STEEL,Dell,unknown,3.5
0671759329,Darkest Hour (Cutler),V.C. Andrews,Pocket,['Fiction'],3.5
0399142495,Small Town Girl,LaVyrle Spencer,Putnam Pub Group,['Fiction'],4.0
0385306059,Wings,DANIELLE STEEL,Delacorte Press,['Fiction'],3.5
1400042070,The Amateur Marriage: A Novel,ANNE TYLER,Knopf,['Fiction'],5.0
0345435028,What We Keep,Elizabeth Berg,Ballantine Books,unknown,5.0
0345453816,Killjoy,Julie Garwood,Ballantine Books,['Fiction'],4.5
0743412753,No Way Out,Andrea Kane,Pocket,unknown,5.0
0553583956,Safe Harbor,Luanne Rice,Bantam Books,['Fiction'],4.0
1401300316,The Center of Everything,Laura Moriarty,Hyperion,['Fiction'],3.0
0671729411,Flowers In The Attic (Dollanganger),V.C. Andrews,Pocket,['Fiction'],4.5
043912042X,Esperanza Rising,Pam Munoz Ryan,Scholastic Paperbacks,['Juvenile Fiction'],5.0
0553568701,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,Bantam Books,unknown,4.0
0688162827,Tell Me Your Dreams,Sidney Sheldon,William Morrow &amp; Company,['Fiction'],5.0
2070360024,"L'Etranger (Collection Folio, 2)",Albert Camus,Gallimard Jeunesse,['Fiction'],5.0
0553213695,The Metamorphosis (Bantam Classics),FRANZ KAFKA,Bantam,unknown,5.0
0316788228,The Pilot's Wife,Anita Shreve,"Little, Brown",['Fiction'],4.0
0192815326,"Frankenstein: Or, the Modern Prometheus (World's Classics)",Mary Wollstonecraft Shelley,Oxford University Press,['Engelse fiksie'],4.0
0451519841,1984,George Orwell,New Amer Library,unknown,4.0
0140067779,Obasan,Joy Kogawa,Penguin Books,['Fiction'],5.0
0345345738,Women in His Life,Barbara Taylor Bradford,Ballantine Books,['Fiction'],4.0
0441172717,Dune (Remembering Tomorrow),Frank Herbert,ACE Charter,unknown,5.0
1573223328,"Across the Nightingale Floor (Tales of the Otori, Book One)",Lian Hearn,Riverhead Books,['Fiction'],4.0
0743246071,The Queen's Fool : A Novel,Philippa Gregory,Touchstone,['Fiction'],5.0
0743417682,From a Buick 8,Stephen King,Pocket Books,['Fiction'],5.0
0385507593,Jennifer Government : A Novel,Max Barry,Doubleday,['Fiction'],4.0
0345441036,Black House,Stephen King,Ballantine Books,['Fiction'],5.0
037541200X,Blood Canticle (The Vampire Chronicles),ANNE RICE,Knopf,unknown,5.0
0553278274,A Night to Remember,WALTER LORD,Bantam,['History'],4.333333333333333
0553571885,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,Bantam,['Fiction'],4.666666666666667
014034294X,Matilda,Roald Dahl,Puffin Books,['Juvenile Fiction'],5.0
034538430X,TickTock,Dean R. Koontz,Ballantine Books,['Fiction'],4.0
0553576801,The Perfect Husband,LISA GARDNER,Bantam,['Fiction'],3.0
1551668637,New Attitude,Charlotte Hughes,Mira,['Fiction'],4.0
1551666952,The Falls,Karen Harper,Mira,['Fiction'],4.5
0553285785,Public Secrets,Nora Roberts,Bantam,['Fiction'],4.333333333333333
0373484410,Time And Again,Nora Roberts,Silhouette,['Fiction'],4.666666666666667
0385323921,The Klone and I: A High-Tech Love Story,Danielle Steel,Delacorte Press,['Fiction'],3.5
1551668440,Snowfall,Sharon Sala,Mira,['FICTION'],4.0
0451193288,Reckless Endangerment,Robert K. Tanenbaum,Signet Book,['Fiction'],5.0
0553578022,The Face of Deception,Iris Johansen,Bantam Books,['Fiction'],4.2
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,Fawcett Books,unknown,4.5
0440215900,Walking After Midnight,KAREN ROBARDS,Dell,unknown,4.0
0743227441,The Other Boleyn Girl,Philippa Gregory,Touchstone,unknown,4.5
0671024108,Speaking in Tongues,Jeffery Deaver,Pocket,['Fiction'],4.5
0345433491,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,Ballantine Books,['Fiction'],4.0
0671793888,Cowboys Are My Weakness,Pam Houston,Washington Square Press,['Fiction'],3.0
1558743316,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,Health Communications,unknown,4.0
0345381432,Dreaming in Cuban,CRISTINA GARCIA,Ballantine Books,['Fiction'],4.0
0553275976,The Bonfire of the Vanities,Tom Wolfe,Bantam Books,['Fiction'],4.0
0553562398,Rest in Pieces (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,Bantam,unknown,5.0
0553287532,Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,Bantam,unknown,4.333333333333333
0425191583,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,Berkley Publishing Group,['Fiction'],4.0
0671742949,UNDER SIEGE,Stephen Coonts,Pocket,['Fiction'],4.0
0553582127,The Search,Iris Johansen,Bantam Books,unknown,4.0
0425132625,Sky Masters,Dale Brown,Berkley Publishing Group,['Fiction'],4.0
0440225817,Acts of Malice,Perri O'Shaughnessy,Island,['Fiction'],3.5
0553578308,Tough Cookie,Diane Mott Davidson,Bantam Books,['Fiction'],4.0
0553578359,Chopping Spree,Diane Mott Davidson,Bantam Books,unknown,5.0
1853260061,Portrait of the Artist As a Young Man (Wordsworth Classics),James Joyce,NTC/Contemporary Publishing Company,['Fiction'],3.0
0440901588,A Swiftly Tilting Planet,Madeleine L'Engle,Laure Leaf,['Juvenile Fiction'],5.0
0425146421,The Wizard's Daughter,Barbara Michaels,Berkley Publishing Group,['Fiction'],4.0
068419337X,SHIPPING NEWS,Annie Proulx,Scribner,['Domestic fiction'],3.0
0821770195,Charming Lily (Zebra Books),Fern Michaels,Zebra Books,['Fiction'],4.0
051513225X,Pendragon,Catherine Coulter,Jove Books,['Fiction'],3.75
0515129933,The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter,Jove Books,unknown,4.333333333333333
0345316002,Killashandra,Anne McCaffrey,Del Rey Books,['Fiction'],3.6666666666666665
0345422406,Merrick (Vampire/Witches Chronicles),Anne Rice,Ballantine Books,unknown,4.0
0140345353,The Devil's Arithmetic,Jane Yolen,Puffin Books,unknown,4.0
0671644475,The Conquest,Jude Deveraux,Pocket,['Fiction'],4.75
1551668122,Night Of The Black Bird,Heather Graham,Mira,['Fiction'],3.5
1860461670,Miss Smilla's Feeling for Snow,Peter Hoeg,Havill Pr,['Copenhagen (Denmark)'],5.0
0451190548,The Green Mile: Coffey's Hands (Green Mile Series),Stephen King,Signet Book,unknown,3.0
0671553046,Life Support,Tess Gerritsen,Pocket,unknown,4.5
0425176045,Falling Bodies,Andrew Mark,Berkley Publishing Group,['Fiction'],4.0
0061094234,Dirt,Stuart Woods,HarperTorch,unknown,4.5
0061093491,Dead in the Water,Stuart Woods,HarperTorch,['Fiction'],3.0
0061090808,New York Dead,Stuart Woods,HarperTorch,['Fiction'],4.5
0553269216,Rainbow Valley (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,Starfire,unknown,5.0
0440220653,The Face on the Milk Carton,Caroline B. Cooney,Laure Leaf,['Juvenile Fiction'],4.0
0064405842,"Catherine, Called Birdy (Trophy Newbery)",Karen Cushman,HarperTrophy,['Juvenile Fiction'],4.0
0060987324,Girlfriend in a Coma,Douglas Coupland,Regan Books,unknown,5.0
0425192733,Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Patricia Cornwell,Berkley Publishing Group,unknown,3.0
0451403703,The Hangman's Beautiful Daughter,Sharyn McCrumb,Onyx Books,['Fiction'],4.5
0688084923,"Morning, Noon, and Night",Sidney Sheldon,William Morrow &amp; Company,unknown,5.0
0440235146,A Sudden Change of Heart,Barbara Taylor Bradford,Dell Publishing Company,['Fiction'],4.0
0525941908,The Regulators,Richard Bachman,Dutton Books,['Fiction'],3.0
0767915054,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,Broadway Books,['Biography & Autobiography'],5.0
0452284449,The Virgin Blue,Tracy Chevalier,Plume Books,unknown,4.0
0446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,Warner Forever,['Fiction'],3.8333333333333335
0440111498,Cat's Cradle,Kurt Vonnegut,Dell Publishing Company,unknown,5.0
0515121495,The List,Steven Paul Martini,Jove Books,['Fiction'],4.0
0425132951,The House of Thunder,Dean R. Koontz,Berkley Publishing Group,['Fiction'],4.0
0380759470,Xanth 13: Isle of View,Piers Anthony,Eos,['Fiction'],4.0
1558747613,"Chicken Soup for the Teenage Soul III : More Stories of Life, Love and Learning (Chicken Soup for the Soul)",Jack Canfield,HCI Teens,['Juvenile Nonfiction'],4.0
0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,Signet Book,['Fiction'],4.4
1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,Health Communications,['Pets'],4.5
0425176932,"Breaking Point (Tom Clancy's Net Force, No. 4)",Steve Perry,Berkley Publishing Group,unknown,3.0
8806142100,Io Non Ho Paura,Niccolo Ammaniti,Distribooks Inc,unknown,4.0
0140143505,84 Charing Cross Road,Helene Hanff,Penguin Books,unknown,5.0
0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,Ballantine Books,unknown,4.666666666666667
0553289691,SKINNY LEGS AND ALL,TOM ROBBINS,Bantam,unknown,3.0
0679721886,The Woman Warrior : Memoirs of a Girlhood Among Ghosts,MAXINE HONG KINGSTON,Vintage,['Social Science'],5.0
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,Signet Book,['Fiction'],5.0
0525946829,Quentins,Maeve Binchy,Dutton Books,['Fiction'],3.6666666666666665
3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,Dtv,unknown,4.0
0312986343,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,St. Martin's Paperbacks,['Fiction'],4.333333333333333
0425125467,Harmful Intent,Robin Cook,Berkley Publishing Group,['Fiction'],4.0
0446530077,Find Me,Rosie O'Donnell,Warner Books,unknown,2.5
0451128370,Christine,Stephen King,Penguin Putnam~mass,['Automobiles'],4.0
0451170385,Four Past Midnight,Stephen King,Signet Book,unknown,3.3333333333333335
0156006847,The Fencing Master: A Novel,Arturo PÃ©rez-Reverte,Harvest Books,unknown,4.0
0446527297,The Millionaires,Brad Meltzer,Warner Books,unknown,4.0
0425151875,Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,Berkley Publishing Group,['Fiction'],3.0
0373218958,Less Of A Stranger (Silhouette Single Title),Nora Roberts,Silhouette,unknown,3.3333333333333335
0679742115,Vox: A Novel,Nicholson Baker,Vintage Books USA,['Fiction'],4.0
0312991460,To the Nines (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,unknown,5.0
0385501412,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,Doubleday,['Fiction'],4.0
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,HarperCollins Publishers,unknown,4.666666666666667
0395859972,The Blue Flower,Penelope Fitzgerald,Mariner Books,['Fiction'],5.0
0671727583,Smart Women,Judy Blume,Pocket Books,unknown,3.0
0440159008,Motherhood the Second Oldest Profession,Erma Bombeck,Bantam Doubleday Dell,unknown,5.0
0440212561,Outlander,DIANA GABALDON,Dell,['Fiction'],3.5
0515133302,Hemlock Bay,Catherine Coulter,Jove Books,['Fiction'],5.0
1551668432,Texas Ranger,Diana Palmer,Mira,['Fiction'],4.0
0451198948,"Warrior's Song (Coulter, Catherine. Medieval Song Quartet, 4.)",Catherine Coulter,Signet Book,['Fiction'],4.0
0684801051,TIME AND AGAIN,Jack Finney,Touchstone,['Fiction'],4.5
039914840X,Three Fates,Nora Roberts,Putnam Publishing Group,['Fiction'],4.0
0684801523,The Great Gatsby,F. Scott Fitzgerald,Scribner,unknown,3.5
0446532452,The Wedding,Nicholas Sparks,Warner Books,['Fiction'],3.5
0446520659,The Lion's Game,Nelson DeMille,Warner Books,['Fiction'],4.0
0140430148,The Moonstone (Penguin Classics),Wilkie Collins,Penguin Books,['Detective and mystery stories'],4.5
0020198817,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald,Scribner Paper Fiction,unknown,3.0
042510107X,Red Storm Rising,Tom Clancy,Berkley Publishing Group,['Fiction'],4.5
0425108937,Flight of the Old Dog,Dale Brown,Berkley Publishing Group,unknown,4.0
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,Scholastic,['Juvenile Fiction'],4.8
0345432401,Omerta,Mario Puzo,Ballantine Books,['Fiction'],3.0
0671798782,DIANA: HER TRUE STORY : DIANA: HER TRUE STORY,Andrew Morton,Pocket,['Great Britain'],4.0
0425187055,"Tom Clancy's Power Plays: Cutting Edge (Power Plays, 6)",Tom Clancy,Berkley Publishing Group,unknown,3.0
0399151648,Kate Remembered,A. Scott Berg,Putnam Publishing Group,unknown,4.0
0373250274,See Jane Date,Melissa Senate,Red Dress Ink,unknown,5.0
0345469674,Girls' Poker Night,JILL DAVIS,Ballantine Books,unknown,5.0
0312966806,Tell Me Lies (Tell Me Lies),Jennifer Crusie,St. Martin's Press,unknown,3.5
0446692298,Fat Girls and Lawn Chairs,Cheryl Peck,Warner Books,unknown,5.0
1551667436,Strange Bedpersons,Jennifer Crusie,Mira,['Fiction'],4.0
075820230X,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,Kensington Publishing Corporation,['Fiction'],4.666666666666667
055357258X,The Last Suppers,DIANE MOTT DAVIDSON,Crimeline,['Fiction'],4.0
0688177859,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,Perennial,['Fiction'],5.0
0553211439,A Connecticut Yankee in King Arthur's Court (Bantam Classic),Mark Twain,Bantam Books,['Fiction'],4.333333333333333
0553573136,Couplehood,PAUL REISER,Bantam,unknown,3.0
0140075623,Stones for Ibarra (Penguin Contemporary American Fiction Series),Harriet Doerr,Penguin Books,['Fiction'],4.0
0451204530,Code to Zero,Ken Follett,Signet Book,['Fiction'],4.5
006098824X,Getting Over It,Anna Maxted,Regan Books,['Fiction'],3.0
0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,Perennial,unknown,3.0
0515116068,Hidden Riches,Nora Roberts,Jove Books,['Fiction'],4.333333333333333
0451203054,Praying for Sleep,Jeffrey Deaver,Signet Book,['Fiction'],4.5
0451184734,Blood Relations,Barbara Parker,Signet Book,['Fiction'],4.0
0446603716,Hide &amp; Seek,James Patterson,Warner Books,['Fiction'],4.5
0440193613,Wanderlust,Danielle Steel,Dell,['Fiction'],3.75
0061094404,Power of a Woman,Barbara Taylor Bradford,HarperTorch,['Fiction'],3.0
0515133418,Summer in Eclipse Bay,Jayne Ann Krentz,Jove Books,unknown,3.75
0743460529,Daddy's Little Girl,Mary Higgins Clark,Pocket,['Fiction'],4.666666666666667
0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,Harlequin,['Fiction'],3.0
0373825021,"Tyler #2 Bright Hopes (Tyler, No. 2)",Pat Warren,Harlequin,unknown,5.0
0449148408,False Prophet: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,Fawcett Books,['Fiction'],4.0
0446609951,The Letter of the Law,Tim Green,Warner Books,unknown,4.0
0451157443,Carrie,Stephen King,Signet Book,unknown,3.0
0671867083,REMEMBER ME,Mary Higgins Clark,Simon &amp; Schuster,unknown,4.666666666666667
0671741209,Stranger Is Watching,Mary Higgins Clark,Pocket,['Fiction'],4.5
0671880314,Schindler's List,Thomas Keneally,Touchstone,['Fiction'],4.333333333333333
038550120X,A Painted House,JOHN GRISHAM,Doubleday,unknown,4.333333333333333
0812967240,It's My F---ing Birthday : A Novel,MERRILL MARKOE,Villard,['Fiction'],4.0
1551665301,Book Club,Mary Alice Monroe,Mira,unknown,4.5
0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,HarperCollins Publishers,unknown,5.0
0380756234,Night Storm,Catherine Coulter,Avon,unknown,5.0
0812589041,Ender's Game,Orson Scott Card,Tor Books,['Brothers and sisters'],4.0
1588720020,Crossing Over,John Edward,John Edward (HAYLO),unknown,3.0
0061091464,The Thief of Always,Clive Barker,HarperTorch,unknown,4.5
0670825379,The Satanic Verses,Salman Rushdie,Viking Books,['Fiction'],4.0
0440127793,Galapagos,"Kurt, Jr. Vonnegut",Dell,unknown,4.0
0385502532,Drowning Ruth,Christina Schwarz,Doubleday,unknown,5.0
034543739X,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG,Ballantine Books,['Fiction'],4.5
0553268937,The Water Is Wide,PAT CONROY,Bantam,unknown,5.0
0060192704,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,Cliff Street Books,unknown,4.0
0684835975,We'll Meet Again,Mary Higgins Clark,Simon &amp; Schuster,['Fiction'],5.0
0380722704,Charms for Easy Life,Kaye Gibbons,Avon,['Fiction'],3.0
0671525425,Heaven,V.C. Andrews,Pocket,['Casteel family (Fictitious characters)'],3.0
0373218397,Summer Pleasures,Nora Roberts,Silhouette,['Fiction'],4.0
0060934425,"The Binding Chair : or, A Visit from the Foot Emancipation Society",Kathryn Harrison,Perennial,['Fiction'],4.0
0425179885,The Devil's Code,John Sandford,Berkley Publishing Group,['Fiction'],2.6666666666666665
0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis,MacMillan Publishing Company.,['England'],5.0
0671001132,DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,Pocket,['True Crime'],4.666666666666667
0671793535,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,Pocket,['Literary Criticism'],4.0
0671868691,Bitter Harvest,Ann Rule,Pocket,['True Crime'],4.0
0671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),Ann Rule,Pocket,['Literary Criticism'],5.0
0671025341,"A Rage To Kill and Other True Cases : Anne Rule's Crime Files, Vol. 6 (Ann Rule's Crime Files)",Ann Rule,Pocket,['True Crime'],4.5
0393307050,Master and Commander (Aubrey-Maturin (Paperback)),Patrick O'Brian,W. W. Norton &amp; Company,['Fiction'],4.5
0452282934,Backpack,Emily Barr,Plume Books,unknown,5.0
0441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,Ace Books,"['Blake, Anita (Fictitious character)']",4.0
0684810395,Pretend You Don't See Her,Mary Higgins Clark,Simon &amp; Schuster,unknown,4.5
0399143874,Homeport,Nora Roberts,Putnam Publishing Group,unknown,5.0
0070064601,Family: The Ties That Bind and Gag!,Erma Bombeck,McGraw-Hill Companies,['Humor'],5.0
0373218419,Blithe Images,Nora Roberts,Silhouette,['Fiction'],4.0
0440222842,Five Days in Paris,DANIELLE STEEL,Dell,['Fiction'],4.0
3548359698,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,Ullstein Tb,['Communication in marriage'],4.0
0440418321,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,Yearling,unknown,4.5
0671519816,Inca Gold (Clive Cussler),Clive Cussler,Pocket,unknown,4.0
042518109X,Whispers,Dean R. Koontz,Berkley Publishing Group,['Fiction'],5.0
0061097861,Hunting Badger (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperCollins,['Fiction'],5.0
0446609145,Void Moon,Michael Connelly,Warner Vision,['Fiction'],4.0
0553213237,A Room With a View (Classic),E. M. Forster,Bantam,['Fiction'],4.0
0679433740,Paradise,Toni Morrison,Alfred A. Knopf,['Fiction'],1.0
0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,Vintage Books,unknown,3.5
038079439X,Expendable,James Alan Gardner,Eos,unknown,5.0
0060934913,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Ecco,unknown,4.0
0899193625,"The Beans of Egypt, Maine",Carolyn Chute,Ticknor &amp; Fields,unknown,4.0
0679736042,Toujours Provence (Vintage Departures),Peter Mayle,Vintage Books USA,unknown,4.0
0156005891,Eden Close,Anita Shreve,Harvest Books,['Crime'],4.0
0060652934,The Screwtape Letters,C. S. Lewis,Harper SanFrancisco,['Religion'],4.0
0670032891,The Well of Lost Plots: A Thursday Next Novel,Jasper Fforde,Viking Books,['Books and reading'],4.5
0380807939,A Season Beyond a Kiss,Kathleen E. Woodiwiss,Avon Trade,unknown,4.0
0446602736,Border Music,Robert James Waller,Warner Books,['Fiction'],4.0
0446360589,The Burden of Proof,Scott Turow,Warner Books,['Fiction'],3.5
0385315090,Mirror Image,Danielle Steel,Delacorte Press,unknown,3.0
0385297661,Daddy,Danielle Steel,Delacorte Press,unknown,4.0
0385306024,Accident,Danielle Steel,Delacorte Press,['Fiction'],3.3333333333333335
0345362721,Peachtree Road,Anne Rivers Siddons,Ballantine Books,['Fiction'],4.0
0446329894,If Tomorrow Comes,Sidney Sheldon,Warner Books> C/o Little Br,unknown,4.5
0786889551,The Pied Piper,Ridley Pearson,Hyperion,['Fiction'],3.0
0786889667,The First Victim,Ridley Pearson,Hyperion,unknown,4.0
044023574X,After the Fire,Belva Plain,Dell Publishing Company,['Fiction'],3.0
0553580221,False Memory,Dean R. Koontz,Bantam Books,['Fiction'],4.666666666666667
0553272616,The Unloved,John Saul,Bantam Books,['Fiction'],4.0
0449212750,Murder in the CIA (Capital Crime Mysteries),Margaret Truman,Fawcett Books,['Fiction'],4.0
0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,HarperCollins,['Juvenile Fiction'],5.0
0312958129,Coming Home,Rosamunde Pilcher,St. Martin's Press,['Fiction'],5.0
0385336314,Dating Game,Danielle Steel,Delacorte Press,['Fiction'],3.3333333333333335
0345368754,Foucault's Pendulum,Umberto Eco,Ballantine Books,['Fiction'],4.0
0553213164,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Bantam Classics,['Juvenile Fiction'],4.75
0446603929,See How They Run,James Patterson,Warner Books,unknown,3.0
0553213180,Anne's House of Dreams,L.M. MONTGOMERY,Bantam Classics,unknown,4.8
0440177049,Season of Passion,Danielle Steel,Dell,['Fiction'],4.333333333333333
0446518581,Border Music,Robert James Waller,Warner Books,['Fiction'],4.0
0380712040,Black Cherry Blues: A Dave Robicheaux Novel,James Lee Burke,Avon,unknown,5.0
0743225724,Good Harbor: A Novel,Anita Diamant,Scribner,unknown,4.0
0375756981,The Vagina Monologues: The V-Day Edition,Eve Ensler,Villard Books,['Performing Arts'],2.0
0140258795,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,Penguin Books,['BIOGRAPHY & AUTOBIOGRAPHY'],4.333333333333333
0385509472,Diary: A Novel,Chuck Palahniuk,Doubleday,['Fiction'],4.0
0060988649,Lost: A Novel,Gregory Maguire,Regan Books,['Fiction'],4.0
0380725711,"Say You Love Me (Malory, No. 5)",Johanna Lindsey,Avon,unknown,4.0
0061099708,Colony,Anne Rivers Siddons,HarperTorch,['Fiction'],5.0
0425182886,Pot Shot,Robert B. Parker,Berkley Publishing Group,unknown,4.0
0425179559,Hugger Mugger,Robert B. Parker,Berkley Publishing Group,['Fiction'],4.0
0425174018,Hush Money (Spenser Mysteries),Robert B. Parker,Berkley Publishing Group,['Fiction'],4.0
0425157474,Chance,Robert B. Parker,Berkley Publishing Group,['Fiction'],3.0
0452281881,e,Matt Beaumont,Plume Books,['Fiction'],4.0
0684195488,Accordion Crimes,E. Annie Proulx,Scribner,unknown,3.0
0440220424,Having Our Say : The Delany Sisters' First 100 Years,SARAH L. DELANY,Dell,['Biography & Autobiography'],5.0
0871134799,Suicide Blonde,Darcey Steinke,Pub Group West,['Fiction'],3.5
0373250207,Fishbowl (Red Dress Ink (Paperback)),Sarah Mlynowski,Red Dress Ink,['Fiction'],2.0
0802131786,Tropic of Cancer,Henry Miller,Grove Press,['Fiction'],4.333333333333333
0821772341,Kentucky Rich,Fern Michaels,Kensington Publishing Corporation,unknown,4.0
0440237025,Journey,Danielle Steel,Dell Publishing Company,['Fiction'],5.0
0312306326,Visions of Sugar Plums,Janet Evanovich,St. Martin's Press,['Fiction'],4.25
0061031550,Triggerfish Twist,Tim Dorsey,HarperTorch,unknown,3.0
0451169522,Misery,Stephen King,Penguin USA (Paper),['Fiction'],3.6666666666666665
0374172897,The Hours : A Novel,Michael Cunningham,"Farrar, Straus and Giroux",['Fiction'],5.0
1853261580,The Little Prince (Wordsworth Collection),Antoine de Saint-ExupÃ©ry,NTC/Contemporary Publishing Company,['Juvenile Fiction'],5.0
1551669021,Like Silk,Mary Lynn Baxter,Mira,['Fiction'],3.0
0446602450,Spencerville,Nelson DeMille,Warner Books,['Fiction'],4.0
0446359750,Devices and Desires,Phyllis White,Warner Books,['Fiction'],4.0
0440208513,The Evening News,Arthur Hailey,Dell,['Fiction'],3.5
0061054895,Soul Music (Discworld Novels (Paperback)),Terry Pratchett,HarperTorch,['Fiction'],4.0
0688177867,The Book Borrower: A Novel,Alice Mattison,Perennial,['Fiction'],3.0
0767916069,Under the Tuscan Sun : At Home in Italy,FRANCES MAYES,Broadway,unknown,4.0
0140179836,The Liar's Club: A Memoir,Mary Karr,Penguin USA (Paper),['Biography & Autobiography'],4.0
0553580906,Claws and Effect,RITA MAE BROWN,Bantam,['Fiction'],2.0
044022103X,One True Thing,Anna Quindlen,Dell,['Fiction'],4.0
0553581554,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,Bantam Books,['Fiction'],3.0
0451180232,Nightmares &amp; Dreamscapes,Stephen King,Signet Book,['Fiction'],4.75
0517693119,More Than Complete Hitchhiker's Guide,Douglas Adams,Bonanza Books,"['Dent, Arthur (Fictitious character)']",5.0
0451137965,Thinner,Stephen King,New Amer Library,['Fiction'],4.25
0553266578,The Unwanted,John Saul,Bantam Books,['Fiction'],5.0
0449219550,Longshot,Dick Francis,Fawcett Books,['Fiction'],3.5
0425128164,The Voice of the Night,Dean R. Koontz,Berkley Publishing Group,unknown,4.5
0425107469,Watchers,Dean R. Koontz,Berkley Publishing Group,['Artificial intelligence'],4.333333333333333
0451162145,Koko,Peter Straub,Signet Book,unknown,3.0
042510687X,Outbreak,Robin Cook,Berkley Publishing Group,['Fiction'],3.8333333333333335
0553262645,Nathaniel,John Saul,Bantam Books,unknown,5.0
